China	1438207241	0.39%	5540090	9388211	-348399	1.7	38	61%	18.47%
India	1377233523	0.99%	13586631	2973190	-532687	2.2	28	35%	17.70%
United-States	330610570	0.59%	1937734	9147420	954806	1.8	38	83%	4.25%
Indonesia	272931713	1.07%	2898047	1811570	-98955	2.3	30	56%	3.51%
Pakistan	219992900	2.00%	4327022	770880	-233379	3.6	23	35%	2.83%
Brazil	212253150	0.72%	1509890	8358140	21200	1.7	33	88%	2.73%
Nigeria	205052107	2.58%	5175990	910770	-60000	5.4	18	52%	2.64%
Bangladesh	164354176	1.01%	1643222	130170	-369501	2.1	28	39%	2.11%
Russia	145922010	0.04%	62206	16376870	182456	1.8	40	74%	1.87%
Mexico	128655589	1.06%	1357224	1943950	-60000	2.1	29	84%	1.65%
Japan	126552765	-0.30%	-383840	364555	71560	1.4	48	92%	1.62%
Ethiopia	114357494	2.57%	2884858	1000000	30000	4.3	19	21%	1.47%
Philippines	109280343	1.35%	1464463	298170	-67152	2.6	26	47%	1.41%
Egypt	101930276	1.94%	1946331	995450	-38033	3.3	25	43%	1.31%
Vietnam	97160127	0.91%	876473	310070	-80000	2.1	32	38%	1.25%
DR-Congo	88972681	3.19%	2770836	2267050	23861	6	17	46%	1.15%
Turkey	84153250	1.09%	909452	769630	283922	2.1	32	76%	1.08%
Iran	83771587	1.30%	1079043	1628550	-55000	2.2	32	76%	1.08%
Germany	83730223	0.32%	266897	348560	543822	1.6	46	76%	1.07%
Thailand	69764925	0.25%	174396	510890	19444	1.5	40	51%	0.90%
United-Kingdom	67814098	0.53%	355839	241930	260650	1.8	40	83%	0.87%
France	65244628	0.22%	143783	547557	36527	1.9	42	82%	0.84%
Italy	60479424	-0.15%	-88249	294140	148943	1.3	47	69%	0.78%
Tanzania	59368313	2.98%	1728755	885800	-40076	4.9	18	37%	0.77%
South-Africa	59154802	1.28%	750420	1213090	145405	2.4	28	67%	0.76%
Myanmar	54335948	0.67%	364380	653290	-163313	2.2	29	31%	0.70%
Kenya	53521116	2.28%	1197323	569140	-10000	3.5	20	28%	0.69%
South-Korea	51260395	0.09%	43877	97230	11731	1.1	44	82%	0.66%
Colombia	50771878	1.08%	543448	1109500	204796	1.8	31	80%	0.65%
Spain	46751175	0.04%	18002	498800	40000	1.3	45	80%	0.60%
Uganda	45427637	3.32%	1471413	199810	168694	5	17	26%	0.59%
Argentina	45111229	0.93%	415097	2736690	4800	2.3	32	93%	0.58%
Algeria	43685618	1.85%	797990	2381740	-10000	3.1	29	73%	0.56%
Sudan	43632213	2.42%	1036022	1765048	-50000	4.4	20	35%	0.56%
Ukraine	43785122	-0.59%	-259876	579320	10000	1.4	41	69%	0.56%
Iraq	40031626	2.32%	912710	434320	7834	3.7	21	73%	0.52%
Afghanistan	38742911	2.33%	886592	652860	-62920	4.6	18	25%	0.50%
Poland	37854825	-0.11%	-41157	306230	-29395	1.4	42	60%	0.49%
Canada	37674770	0.89%	331107	9093510	242032	1.5	41	81%	0.48%
Morocco	36820713	1.20%	438791	446300	-51419	2.4	30	64%	0.47%
Saudi-Arabia	34701377	1.59%	545343	2149690	134979	2.3	32	84%	0.45%
Uzbekistan	33368859	1.48%	487487	425400	-8863	2.4	28	50%	0.43%
Peru	32876986	1.42%	461401	1280000	99069	2.3	31	79%	0.42%
Angola	32644783	3.27%	1040977	1246700	6413	5.6	17	67%	0.42%
Malaysia	32280610	1.30%	416222	328550	50000	2	30	78%	0.42%
Mozambique	31067362	2.93%	889399	786380	-5000	4.9	18	38%	0.40%
Ghana	30936375	2.15%	655084	227540	-10000	3.9	22	57%	0.40%
Yemen	29687214	2.28%	664042	527970	-30000	3.8	20	38%	0.38%
Nepal	29027347	1.85%	528098	143350	41710	1.9	25	21%	0.37%
Venezuela	28451828	-0.28%	-79889	882050	-653249	2.3	30	N.A.	0.36%
Madagascar	27539106	2.68%	721711	581795	-1500	4.1	20	39%	0.36%
Cameroon	26405174	2.59%	669483	472710	-4800	4.6	19	56%	0.34%
North-Korea	25756088	0.44%	112655	120410	-5403	1.9	35	63%	0.33%
Australia	25439164	1.18%	296686	7682300	158246	1.8	38	86%	0.33%
Niger	24014064	3.84%	895929	1266700	4000	7	15	17%	0.31%
Taiwan	23808164	0.18%	42899	35410	30001	1.2	42	79%	0.31%
Sri-Lanka	21395196	0.42%	89516	62710	-97986	2.2	34	18%	0.27%
Burkina-Faso	20780371	2.86%	581895	273600	-25000	5.2	18	31%	0.27%
Mali	20125282	3.02%	592802	1220190	-40000	5.9	16	44%	0.26%
Romania	19262731	-0.66%	-126866	230170	-73999	1.6	43	55%	0.25%
Malawi	19024426	2.69%	501205	94280	-16053	4.3	18	18%	0.25%
Chile	19082804	0.87%	164163	743532	111708	1.7	35	85%	0.25%
Kazakhstan	18730568	1.21%	225280	2699700	-18000	2.8	31	58%	0.24%
Zambia	18273379	2.93%	522925	743390	-8000	4.7	18	45%	0.24%
Guatemala	17846248	1.90%	334096	107160	-9215	2.9	23	52%	0.23%
Ecuador	17587526	1.55%	269392	248360	36400	2.4	28	63%	0.23%
Syria	17410293	2.52%	430523	183630	-427391	2.8	26	60%	0.22%
Netherlands	17127290	0.22%	37742	33720	16000	1.7	43	92%	0.22%
Senegal	16649599	2.75%	447563	192530	-20000	4.7	19	49%	0.21%
Cambodia	16671185	1.41%	232423	176520	-30000	2.5	26	24%	0.21%
Chad	16324440	3.00%	478988	1259200	2000	5.8	17	23%	0.21%
Somalia	15798020	2.92%	450317	627340	-40000	6.1	17	47%	0.20%
Zimbabwe	14818157	1.48%	217456	386850	-116858	3.6	19	38%	0.19%
Guinea	13056478	2.83%	361549	245720	-4000	4.7	18	39%	0.17%
Rwanda	12883878	2.58%	325268	24670	-9000	4.1	20	18%	0.17%
Benin	12055347	2.73%	322049	112760	-2000	4.9	19	48%	0.16%
Burundi	11814346	3.12%	360204	25680	2001	5.5	17	14%	0.15%
Tunisia	11793319	1.06%	123900	155360	-4000	2.2	33	70%	0.15%
Bolivia	11640159	1.39%	159921	1083300	-9504	2.8	26	69%	0.15%
Belgium	11579477	0.44%	50295	30280	48000	1.7	42	98%	0.15%
Haiti	11373955	1.24%	139451	27560	-35000	3	24	57%	0.15%
Cuba	11327988	-0.06%	-6867	106440	-14400	1.6	42	78%	0.15%
South-Sudan	11166783	1.19%	131612	610952	-174200	4.7	19	25%	0.14%
Dominican-Republic	10825682	1.01%	108952	48320	-30000	2.4	28	85%	0.14%
Czech-Republic(Czechia)	10705012	0.18%	19772	77240	22011	1.6	43	74%	0.14%
Greece	10433037	-0.48%	-50401	128900	-16000	1.3	46	85%	0.13%
Jordan	10182442	1.00%	101440	88780	10220	2.8	24	91%	0.13%
Portugal	10202571	-0.29%	-29478	91590	-6000	1.3	46	66%	0.13%
Azerbaijan	10120555	0.91%	91459	82658	1200	2.1	32	56%	0.13%
Sweden	10086531	0.63%	62886	410340	40000	1.9	41	88%	0.13%
Honduras	9871892	       1.63%	158490	111890	-6800	2.5	24	57%	0.13%
United-Arab-Emirates	9865845	       1.23%	119873	83600	40000	1.4	33	86%	0.13%
Hungary	9665192	       -0.25%	-24328	90530	6000	1.5	43	72%	0.12%
Tajikistan	9492342	       2.32%	216627	139960	-20000	3.6	22	27%	0.12%
Belarus	9449940	       -0.03%	-3088	202910	8730	1.7	40	79%	0.12%
Austria	8996022       	0.57%	51296	82409	65000	1.5	43	57%	0.12%
Papua-New-Guinea	8911530	       1.95%	170915	452860	-800	3.6	22	13%	0.11%
Serbia	8744288	       -0.40%	-34864	87460	4000	1.5	42	56%	0.11%
Israel	8627444	       1.60%	136158	21640	10000	3	30	93%	0.11%
Switzerland	8641786	       0.74%	63257	39516	52000	1.5	43	74%	0.11%
Togo	8237580	       2.43%	196358	54390	-2000	4.4	19	43%	0.11%
Sierra-Leone	7942879       	2.10%	163768	72180	-4200	4.3	19	43%	0.10%
Hong-Kong	7484618       	0.82%	60827	1050	29308	1.3	45	N.A.	0.10%
Laos	7253719	       1.48%	106105	230800	-14704	2.7	24	36%	0.09%
Paraguay	7114524	       1.25%	87902	397300	-16556	2.4	26	62%	0.09%
Bulgaria	6958627	       -0.74%	-51674	108560	-4800	1.6	45	76%	0.09%
Libya	6852010	       1.38%	93840	1759540	-1999	2.3	29	78%	0.09%
Lebanon	6831445       -0.44%	-30268	10230	-30012	2.1	30	78%	0.09%
Nicaragua	6608366       1.21%	79052	120340	-21272	2.4	26	57%	0.08%
Kyrgyzstan	6501804       1.69%	108345	191800	-4000	3	26	36%	0.08%
El-Salvador	6479609       0.51%	32652	20720	-40539	2.1	28	73%	0.08%
Turkmenistan	6012850       1.50%	89111	469930	-5000	2.8	27	53%	0.08%
Singapore	5840996	      0.79%	46005	700	27028	1.2	42	N.A.	0.08%
Denmark	5788108	      0.35%	20326	42430	15200	1.8	42	88%	0.07%
Finland	5539002	      0.15%	8564	303890	14000	1.5	43	86%	0.07%
Congo	5489191	      2.56%	137579	341500	-4000	4.5	19	70%	0.07%
Slovakia	5459116	      0.05%	2629	48088	1485	1.5	41	54%	0.07%
Norway	5412632	      0.79%	42384	365268	28000	1.7	40	83%	0.07%
Oman	5078933	      2.65%	131640	309500	87400	2.9	31	87%	0.07%
Palestine	5076280	      2.41%	119994	6020	-10563	3.7	21	80%	0.07%
